,YEAR,PREVAILING_WAGE
2369484,2012,0
950043,2015,0
2548046,2012,0
1685620,2014,0
1886282,2013,0
77688,2016,0
2636797,2012,0
1087159,2015,0
369255,2016,0
472518,2016,0
931371,2015,0
2686157,2011,0
2529108,2012,0
2251132,2012,0
1677459,2014,0
2233628,2012,0
776120,2015,0
2211188,2013,0
2558647,2012,0
1033984,2015,0
1779392,2014,0
1551231,2014,0
1572552,2014,0
1163690,2015,0
2027003,2013,0
536259,2016,0
2401337,2012,0
1853661,2013,0
1633193,2014,0
637535,2016,0
1038954,2015,0
397651,2016,0
1861101,2013,0
1776445,2014,0
523499,2016,0
974896,2015,0
2048036,2013,0
1285678,2014,0
308509,2016,0
1961000,2013,0
2133120,2013,0
1642879,2014,0
2886613,2011,0
500233,2016,0
2747745,2011,0
2148739,2013,0
2439271,2012,0
2220625,2013,0
220078,2016,0
103764,2016,0
1529116,2014,0
2120660,2013,0
2587705,2012,0
1159628,2015,0
2528403,2012,0
2470849,2012,0
2671407,2011,0
1050308,2015,0
2741658,2011,0
2033732,2013,0
2985007,2011,0
1100019,2015,0
144885,2016,0
42347,2016,0
12570,2016,0
1762498,2014,0
634902,2016,0
2668591,2011,0
71125,2016,0
2436217,2012,0
371130,2016,0
1668840,2014,0
1721443,2014,0
2371891,2012,0
1003835,2015,0
2009366,2013,0
820776,2015,0
784986,2015,0
661500,2015,0
1869650,2013,0
422743,2016,0
1119593,2015,0
1636388,2014,0
2559494,2012,0
556420,2016,0
205153,2016,0
1632391,2014,0
1933324,2013,0
2427789,2012,0
28209,2016,0
1778114,2014,0
2138203,2013,0
2787611,2011,0
218976,2016,0
171382,2016,0
1414440,2014,0
2947002,2011,0
960733,2015,0
2554133,2012,0
1218368,2015,0
1366429,2014,0
437952,2016,0
2146851,2013,0
69821,2016,0
1864,2016,0
2316648,2012,0
575440,2016,0
2642210,2012,0
405591,2016,0
698161,2015,0
220296,2016,0
622263,2016,0
1726920,2014,0
371600,2016,0
897789,2015,0
816865,2015,0
1736307,2014,0
801161,2015,0
1083677,2015,0
2562391,2012,0
2924486,2011,0
2973049,2011,0
541497,2016,0
1503400,2014,0
746884,2015,0
476145,2016,0
2580809,2012,0
