EMPLOYER_NAME,CERTIFIED_CASES,FAILED_CASES
ACCENTURE,98.39885717686974,1.6011428231302602
DELOITTE CONSULTING,98.30729875360583,1.692701246394165
ERNST & YOUNG,97.99814542082584,2.0018545791741644
FACEBOOK,87.62983947119925,12.370160528800753
GOOGLE,75.13825018918448,24.861749810815525
IBM INDIA PRIVATE,81.16937221663554,18.830627783364463
INFOSYS,99.42919168380863,0.5708083161913748
MICROSOFT,87.32014388489209,12.67985611510791
TATA CONSULTANCY,99.2445076167228,0.7554923832772005
